shape	net	bbox	repair_bbox	status
PATH_11_184	VDD	{20.0000 327.6180} {1189.3360 327.6780}	{19.96 327.578} {1189.376 327.718}	attempt
PATH_11_208	VDD	{20.0000 367.7460} {1189.3360 367.8060}	{19.96 367.706} {1189.376 367.846}	attempt
PATH_11_232	VDD	{20.0000 407.8740} {1189.3360 407.9340}	{19.96 407.834} {1189.376 407.974}	attempt
PATH_11_256	VDD	{20.0000 448.0020} {1189.3360 448.0620}	{19.96 447.962} {1189.376 448.102}	attempt
PATH_11_280	VDD	{20.0000 488.1300} {1189.3360 488.1900}	{19.96 488.09} {1189.376 488.23}	attempt
PATH_11_304	VDD	{20.0000 528.2580} {1189.3360 528.3180}	{19.96 528.218} {1189.376 528.358}	attempt
PATH_11_328	VDD	{20.0000 568.3860} {1189.3360 568.4460}	{19.96 568.346} {1189.376 568.486}	attempt
PATH_11_483	VSS	{20.0000 827.5460} {1189.3360 827.6060}	{19.96 827.506} {1189.376 827.646}	attempt
PATH_11_507	VSS	{20.0000 867.6740} {1189.3360 867.7340}	{19.96 867.634} {1189.376 867.774}	attempt
PATH_11_531	VSS	{20.0000 907.8020} {1189.3360 907.8620}	{19.96 907.762} {1189.376 907.902}	attempt
PATH_11_555	VSS	{20.0000 947.9300} {1189.3360 947.9900}	{19.96 947.89} {1189.376 948.03}	attempt
PATH_11_579	VSS	{20.0000 988.0580} {1189.3360 988.1180}	{19.96 988.018} {1189.376 988.158}	attempt
PATH_11_603	VSS	{20.0000 1028.1860} {1189.3360 1028.2460}	{19.96 1028.146} {1189.376 1028.286}	attempt
PATH_11_627	VSS	{20.0000 1068.3140} {1189.3360 1068.3740}	{19.96 1068.274} {1189.376 1068.414}	attempt
